time,open,high,low,close,volume
2021-10-29 18:45:00,125.2,125.2,125.2,125.2,100
2021-10-29 17:35:00,125.14,125.14,125.1,125.1,1014
2021-10-29 17:30:00,125.27,125.28,125.24,125.28,5105
2021-10-29 17:15:00,125.22,125.22,125.22,125.22,450
2021-10-29 17:10:00,125.22,125.22,125.22,125.22,100
2021-10-29 17:05:00,125.11,125.11,125.11,125.11,102
2021-10-29 16:55:00,125.1,125.1,125.1,125.1,298
2021-10-29 16:45:00,125.113,125.113,125.1,125.1,384
2021-10-29 16:35:00,125.12,125.12,125.12,125.12,900
2021-10-29 16:30:00,125.1,125.1,125.1,125.1,1590
